stage,instruction,frequency,time,energy
1,forward,1230,0.15383813881874076,34.36778700006008
1,backward,1230,0.2727545642852783,61.684812000274654
1,forward,1215,0.15501871633529657,34.45460100030899
1,backward,1215,0.2748123292922974,61.23357899951935
1,forward,1200,0.15061714053153985,32.53058999991417
1,backward,1200,0.2766768035888672,59.39056800019741
1,forward,1185,0.15296100926399225,32.42708999991417
1,backward,1185,0.27883225035667414,58.75469999957083
1,forward,1170,0.1537325713634491,32.26377599966526
1,backward,1170,0.2809945034980774,58.4828189996481
1,forward,1155,0.15331258893012992,31.936239000678064
1,backward,1155,0.2833653166294098,57.98168099927902
1,forward,1140,0.15622598934173584,31.98089699971676
1,backward,1140,0.28578682565689084,57.88025999987125
1,forward,1125,0.15733998370170585,31.962195000171658
1,backward,1125,0.2883664605617523,58.13877600073814
1,forward,1110,0.15887249493598937,32.17616099953652
1,backward,1110,0.29104318499565124,58.15629899990559
1,forward,1095,0.15894743585586543,32.24886300015449
1,backward,1095,0.2937959704399108,58.47630299985409
1,forward,1080,0.16140378999710078,32.37034499931336
1,backward,1080,0.29664176845550533,58.58523000025749
1,forward,1065,0.15577256298065184,31.390469999313353
1,backward,1065,0.29958115410804753,58.71845700001717
1,forward,1050,0.1460960047245025,29.805390000343323
1,backward,1050,0.3026162323951721,58.83621299993992
1,forward,1035,0.14630132246017455,29.25778500008583
1,backward,1035,0.3057194666862488,58.896134999871244
1,forward,1020,0.14779401683807367,28.806236999630933
1,backward,1020,0.30891914033889767,59.11371900093557
1,forward,1005,0.1494451332092285,28.69050599992275
1,backward,1005,0.31223879241943353,59.369876999974245
1,forward,990,0.151209897994995,28.71251099932194
1,backward,990,0.3156674301624298,59.591412000060075
1,forward,975,0.15297733426094057,28.758005999922755
1,backward,975,0.31917787098884576,59.78354399943352
1,forward,960,0.15483730888366695,28.893024000763887
1,backward,960,0.32281686043739316,59.981480999708175
1,forward,945,0.15675824260711663,28.981502999424936
1,backward,945,0.32658450579643244,60.160796999931335
1,forward,930,0.15873533105850215,29.499687000274655
1,backward,930,0.3305133090019226,60.82059599983692
1,forward,915,0.16079755926132197,29.33144100022316
1,backward,915,0.33448525500297543,61.026291000008584
1,forward,900,0.1629276645183563,29.557089000463485
1,backward,900,0.3386513307094574,61.28369100022316
1,forward,885,0.16512318992614744,29.864501999974248
1,backward,885,0.342941725730896,61.70446800041198
1,forward,870,0.16740988898277276,29.911589999914167
1,backward,870,0.3474283468723297,61.75046699988841
1,forward,855,0.16975855994224545,29.952638999819754
1,backward,855,0.35200765442848203,61.91947800028324
2,forward,1740,0.13344467067718507,39.136634999871255
2,backward,1740,0.248327154636383,73.09727099919319
