dataset,network,batch_size,optimizer,power_limit,time_per_epoch,average_power
librispeech,deepspeech2,8,adamw,225,61196.69,101.96984744036268
librispeech,deepspeech2,8,adamw,250,61172.055,101.42731634364684
movielens-1m,ncf,1024,adam,125,39.83666666666667,33.91149605961817
movielens-1m,ncf,1024,adam,150,37.60166666666667,34.184189721184
movielens-1m,ncf,1024,adam,175,36.78666666666667,34.10122375688338
movielens-1m,ncf,1024,adam,200,38.36666666666667,34.138124505232156
movielens-1m,ncf,1024,adam,225,38.71666666666667,34.06799308102971
movielens-1m,ncf,1024,adam,250,39.178333333333335,34.16966669004092
movielens-1m,ncf,128,adam,125,227.285,34.63467430283375
movielens-1m,ncf,128,adam,150,231.335,34.81892399851125
movielens-1m,ncf,128,adam,175,230.92000000000002,34.630717265797706
movielens-1m,ncf,128,adam,200,239.04,34.73901684944076
movielens-1m,ncf,128,adam,225,240.555,34.65299075340619
movielens-1m,ncf,128,adam,250,234.705,34.842541686823886
movielens-1m,ncf,16,adam,125,1857.8400000000001,35.06535521821759
movielens-1m,ncf,16,adam,150,1954.575,34.78599715068828
movielens-1m,ncf,16,adam,175,1902.975,34.954682113997315
movielens-1m,ncf,16,adam,200,1866.625,34.84571282715842
movielens-1m,ncf,16,adam,225,1815.905,35.08517942243475
movielens-1m,ncf,16,adam,250,1877.105,34.86788023998697
movielens-1m,ncf,16384,adam,125,12.41,33.45644229220102
movielens-1m,ncf,16384,adam,150,13.318999999999999,33.47331674641979
movielens-1m,ncf,16384,adam,175,13.552000000000001,33.29468595272693
movielens-1m,ncf,16384,adam,200,12.145999999999999,33.62685959591164
movielens-1m,ncf,16384,adam,225,14.034,33.38756781376089
movielens-1m,ncf,16384,adam,250,11.822999999999999,33.65979878308837
movielens-1m,ncf,2048,adam,125,24.024999999999995,33.90895811187269
movielens-1m,ncf,2048,adam,150,23.845,33.97379348766876
movielens-1m,ncf,2048,adam,175,24.02333333333333,33.91536285686308
movielens-1m,ncf,2048,adam,200,22.815,34.04697229910514
movielens-1m,ncf,2048,adam,225,23.95,33.904408897265945
movielens-1m,ncf,2048,adam,250,23.713333333333335,33.94863713422452
movielens-1m,ncf,256,adam,125,120.97166666666668,34.4161040888613
movielens-1m,ncf,256,adam,150,122.73833333333333,34.59166235997027
movielens-1m,ncf,256,adam,175,121.30833333333334,34.350972371540394
movielens-1m,ncf,256,adam,200,118.28000000000002,34.668686839912716
movielens-1m,ncf,256,adam,225,126.05,34.37778872902471
movielens-1m,ncf,256,adam,250,127.42333333333333,34.530048732111354
movielens-1m,ncf,32,adam,125,907.9949999999999,34.82485000570418
movielens-1m,ncf,32,adam,150,891.76,34.91812135424518
movielens-1m,ncf,32,adam,175,966.24,34.797555421100675
movielens-1m,ncf,32,adam,200,896.0799999999999,34.80643599261412
movielens-1m,ncf,32,adam,225,958.905,34.867109698407305
movielens-1m,ncf,32,adam,250,892.9300000000001,34.80776680099056
movielens-1m,ncf,4,adam,125,7162.6449999999995,35.13628465996792
movielens-1m,ncf,4,adam,150,7333.295,35.03086859952881
movielens-1m,ncf,4,adam,175,7613.215,35.00925365462286
movielens-1m,ncf,4,adam,200,7476.415,34.94831158751451
movielens-1m,ncf,4,adam,225,7464.33,35.04030523527931
movielens-1m,ncf,4,adam,250,7056.705,35.07573614113232
movielens-1m,ncf,4096,adam,125,17.852999999999998,33.8059746219855
movielens-1m,ncf,4096,adam,150,18.607999999999997,33.849358705505935
movielens-1m,ncf,4096,adam,175,19.411,33.73798373444411
movielens-1m,ncf,4096,adam,200,17.806,33.85555492230481
movielens-1m,ncf,4096,adam,225,18.807000000000002,33.718802385595474
movielens-1m,ncf,4096,adam,250,17.977,33.91758058647161
movielens-1m,ncf,512,adam,125,64.93166666666667,34.234240354922214
movielens-1m,ncf,512,adam,150,64.27,34.56581216881635
movielens-1m,ncf,512,adam,175,66.18333333333334,34.238849928017885
movielens-1m,ncf,512,adam,200,68.81833333333334,34.364680058930915
movielens-1m,ncf,512,adam,225,65.08166666666666,34.20229758590196
movielens-1m,ncf,512,adam,250,64.02000000000001,34.47856529039609
movielens-1m,ncf,64,adam,125,485.92499999999995,34.589987494212046
movielens-1m,ncf,64,adam,150,486.135,34.71060479421804
movielens-1m,ncf,64,adam,175,494.935,34.40857376260018
movielens-1m,ncf,64,adam,200,457.015,34.81541326672548
