dataset,network,batch_size,optimizer,learning_rate,run,target_metric,target_epoch
cifar100,shufflenetv2,1024,adadelta,1e-1,8,0.85,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,8,0.9,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,8,0.95,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,9,0.05,1
cifar100,shufflenetv2,1024,adadelta,1e-1,9,0.1,3
cifar100,shufflenetv2,1024,adadelta,1e-1,9,0.15,4
cifar100,shufflenetv2,1024,adadelta,1e-1,9,0.2,4
cifar100,shufflenetv2,1024,adadelta,1e-1,9,0.25,7
cifar100,shufflenetv2,1024,adadelta,1e-1,9,0.3,10
cifar100,shufflenetv2,1024,adadelta,1e-1,9,0.35,11
cifar100,shufflenetv2,1024,adadelta,1e-1,9,0.4,13
cifar100,shufflenetv2,1024,adadelta,1e-1,9,0.45,16
cifar100,shufflenetv2,1024,adadelta,1e-1,9,0.5,23
cifar100,shufflenetv2,1024,adadelta,1e-1,9,0.55,33
cifar100,shufflenetv2,1024,adadelta,1e-1,9,0.6,90
cifar100,shufflenetv2,1024,adadelta,1e-1,9,0.65,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,9,0.7,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,9,0.75,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,9,0.8,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,9,0.85,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,9,0.9,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,9,0.95,nan
cifar100,shufflenetv2,128,adadelta,1e-1,1,0.05,1
cifar100,shufflenetv2,128,adadelta,1e-1,1,0.1,1
cifar100,shufflenetv2,128,adadelta,1e-1,1,0.15,2
cifar100,shufflenetv2,128,adadelta,1e-1,1,0.2,2
cifar100,shufflenetv2,128,adadelta,1e-1,1,0.25,3
cifar100,shufflenetv2,128,adadelta,1e-1,1,0.3,4
cifar100,shufflenetv2,128,adadelta,1e-1,1,0.35,5
cifar100,shufflenetv2,128,adadelta,1e-1,1,0.4,6
cifar100,shufflenetv2,128,adadelta,1e-1,1,0.45,7
cifar100,shufflenetv2,128,adadelta,1e-1,1,0.5,9
cifar100,shufflenetv2,128,adadelta,1e-1,1,0.55,12
cifar100,shufflenetv2,128,adadelta,1e-1,1,0.6,18
cifar100,shufflenetv2,128,adadelta,1e-1,1,0.65,62
cifar100,shufflenetv2,128,adadelta,1e-1,1,0.7,nan
cifar100,shufflenetv2,128,adadelta,1e-1,1,0.75,nan
cifar100,shufflenetv2,128,adadelta,1e-1,1,0.8,nan
cifar100,shufflenetv2,128,adadelta,1e-1,1,0.85,nan
