dataset,network,batch_size,optimizer,power_limit,time_per_epoch,average_power
cifar100,shufflenetv2,16,adam,200,116.20333333333333,42.369489194693855
cifar100,shufflenetv2,16,adadelta,225,128.51000000000002,41.63912212807678
cifar100,shufflenetv2,16,adam,225,117.13333333333333,42.38408180304792
cifar100,shufflenetv2,16,adadelta,250,125.90000000000002,42.0253097629992
cifar100,shufflenetv2,16,adam,250,119.72333333333334,42.21066667353948
cifar100,shufflenetv2,2048,adadelta,100,11.456666666666665,86.90756058522402
cifar100,shufflenetv2,2048,adam,100,11.44,89.58322952128579
cifar100,shufflenetv2,2048,adadelta,125,9.450000000000001,105.30045184803596
cifar100,shufflenetv2,2048,adam,125,9.37,100.69301055601294
cifar100,shufflenetv2,2048,adadelta,150,8.556666666666667,121.07824658852749
cifar100,shufflenetv2,2048,adam,150,8.473333333333334,121.67195576558582
cifar100,shufflenetv2,2048,adadelta,175,8.246666666666668,134.42455333349383
cifar100,shufflenetv2,2048,adam,175,8.093333333333332,142.37797099298334
cifar100,shufflenetv2,2048,adadelta,200,7.983333333333332,149.25594781708492
cifar100,shufflenetv2,2048,adam,200,7.79,158.3202708859027
cifar100,shufflenetv2,2048,adadelta,225,7.84,168.03564255105374
cifar100,shufflenetv2,2048,adam,225,7.586666666666666,179.68248831060006
cifar100,shufflenetv2,2048,adadelta,250,7.69,178.7948591771565
cifar100,shufflenetv2,2048,adam,250,7.513333333333333,186.7622222407287
cifar100,shufflenetv2,256,adadelta,100,11.780000000000001,94.41322978310006
cifar100,shufflenetv2,256,adam,100,11.38,92.0298075387101
cifar100,shufflenetv2,256,adadelta,125,11.336666666666666,105.3842844396491
cifar100,shufflenetv2,256,adam,125,10.633333333333335,104.8728111845296
cifar100,shufflenetv2,256,adadelta,150,10.653333333333334,118.02221139479926
cifar100,shufflenetv2,256,adam,150,10.133333333333333,124.67339746268628
cifar100,shufflenetv2,256,adadelta,175,10.353333333333333,142.43996802865686
cifar100,shufflenetv2,256,adam,175,9.783333333333333,146.79325101776644
cifar100,shufflenetv2,256,adadelta,200,10.076666666666666,158.2556177153196
cifar100,shufflenetv2,256,adam,200,9.63,159.84648383340226
cifar100,shufflenetv2,256,adadelta,225,10.020000000000001,167.20113164317215
cifar100,shufflenetv2,256,adam,225,9.653333333333334,164.73871803067522
cifar100,shufflenetv2,256,adadelta,250,10.056666666666665,178.30724680750953
cifar100,shufflenetv2,256,adam,250,9.47,181.21636931686226
cifar100,shufflenetv2,32,adadelta,100,67.03333333333332,48.07035637122688
cifar100,shufflenetv2,32,adam,100,58.51333333333334,51.73854187683644
cifar100,shufflenetv2,32,adadelta,125,64.14333333333333,51.32690782266078
cifar100,shufflenetv2,32,adam,125,59.03,49.76059181726375
cifar100,shufflenetv2,32,adadelta,150,65.10666666666667,50.67078548851783
cifar100,shufflenetv2,32,adam,150,58.64666666666667,51.31292185408925
cifar100,shufflenetv2,32,adadelta,175,64.08666666666667,51.09351409164912
cifar100,shufflenetv2,32,adam,175,62.24,47.14469614531935
cifar100,shufflenetv2,32,adadelta,200,64.44999999999999,51.599010659521426
cifar100,shufflenetv2,32,adam,200,58.57666666666666,49.777276582615954
cifar100,shufflenetv2,32,adadelta,225,64.60333333333334,50.94443965122245
cifar100,shufflenetv2,32,adam,225,62.29333333333333,47.69801586148098
cifar100,shufflenetv2,32,adadelta,250,63.70666666666667,52.002328354552965
cifar100,shufflenetv2,32,adam,250,58.843333333333334,51.64927817583923
cifar100,shufflenetv2,4096,adadelta,100,12.696666666666667,87.17884892811303
cifar100,shufflenetv2,4096,adam,100,12.486666666666666,83.97648717771823
cifar100,shufflenetv2,4096,adadelta,125,10.316666666666665,99.95253250316088
cifar100,shufflenetv2,4096,adam,125,10.273333333333333,96.76654445855952
cifar100,shufflenetv2,4096,adadelta,150,9.316666666666668,115.50424656747545
cifar100,shufflenetv2,4096,adam,150,9.356666666666667,113.66960513251601
cifar100,shufflenetv2,4096,adadelta,175,8.986666666666666,129.29854843270695
cifar100,shufflenetv2,4096,adam,175,8.99,126.65018024678484
cifar100,shufflenetv2,4096,adadelta,200,8.696666666666665,144.09215655452215
cifar100,shufflenetv2,4096,adam,200,8.726666666666667,141.54814129439356
cifar100,shufflenetv2,4096,adadelta,225,8.486666666666666,155.28003809874033
cifar100,shufflenetv2,4096,adam,225,8.42,158.66168583848946
cifar100,shufflenetv2,4096,adadelta,250,8.366666666666665,171.29186803424747
cifar100,shufflenetv2,4096,adam,250,8.336666666666666,171.2610193325378
cifar100,shufflenetv2,512,adadelta,100,11.333333333333334,87.30419000379828
cifar100,shufflenetv2,512,adam,100,11.026666666666666,90.99651215957832
cifar100,shufflenetv2,512,adadelta,125,9.459999999999999,107.48030341057824
cifar100,shufflenetv2,512,adam,125,9.096666666666666,108.7343004198125
cifar100,shufflenetv2,512,adadelta,150,9.156666666666666,121.70101986695155
cifar100,shufflenetv2,512,adam,150,8.76,123.6717870242095
cifar100,shufflenetv2,512,adadelta,175,8.790000000000001,131.55041432230203
cifar100,shufflenetv2,512,adam,175,8.409999999999998,140.47583805102357
cifar100,shufflenetv2,512,adadelta,200,8.530000000000001,161.54779686797752
cifar100,shufflenetv2,512,adam,200,8.263333333333334,159.89983163040884
cifar100,shufflenetv2,512,adadelta,225,8.346666666666666,168.95003253504092
cifar100,shufflenetv2,512,adam,225,8.16,179.29400824550746
cifar100,shufflenetv2,512,adadelta,250,8.276666666666666,195.88311799775082
cifar100,shufflenetv2,512,adam,250,7.876666666666666,185.03929020596698
cifar100,shufflenetv2,64,adadelta,100,32.656666666666666,80.19422841854553
cifar100,shufflenetv2,64,adam,100,29.743333333333336,82.581735264566
cifar100,shufflenetv2,64,adadelta,125,32.086666666666666,90.97324927945311
cifar100,shufflenetv2,64,adam,125,29.733333333333334,91.59548729713092
cifar100,shufflenetv2,64,adadelta,150,32.38,91.88877818704009
cifar100,shufflenetv2,64,adam,150,29.923333333333336,92.37562973464513
cifar100,shufflenetv2,64,adadelta,175,32.92333333333334,89.59386343543893
cifar100,shufflenetv2,64,adam,175,30.75666666666667,90.5088577431957
cifar100,shufflenetv2,64,adadelta,200,33.873333333333335,89.57648733213335
cifar100,shufflenetv2,64,adam,200,30.593333333333334,93.18092246683324
cifar100,shufflenetv2,64,adadelta,225,32.089999999999996,90.19061346182312
cifar100,shufflenetv2,64,adam,225,30.543333333333333,92.13812269512609
cifar100,shufflenetv2,64,adadelta,250,33.21333333333333,88.73447353295255
cifar100,shufflenetv2,64,adam,250,30.316666666666666,92.76650483835999
cifar100,shufflenetv2,8,adadelta,100,239.6966666666667,39.15368712327123
cifar100,shufflenetv2,8,adam,100,225.11,39.44739717493863
cifar100,shufflenetv2,8,adadelta,125,250.50666666666666,38.988154263498785
cifar100,shufflenetv2,8,adam,125,221.08666666666667,39.47007881498201
cifar100,shufflenetv2,8,adadelta,150,237.53666666666666,39.185108695906585
cifar100,shufflenetv2,8,adam,150,227.45000000000002,39.44580426686755
cifar100,shufflenetv2,8,adadelta,175,240.37333333333333,39.165427424473066
cifar100,shufflenetv2,8,adam,175,225.84666666666666,39.435354698131725
cifar100,shufflenetv2,8,adadelta,200,248.88666666666668,39.01164488868375
cifar100,shufflenetv2,8,adam,200,222.48666666666665,39.48397742329716
cifar100,shufflenetv2,8,adadelta,225,249.25666666666666,39.002780879043634
cifar100,shufflenetv2,8,adam,225,228.88666666666666,39.3853026037937
cifar100,shufflenetv2,8,adadelta,250,240.31000000000003,39.09333069394869
cifar100,shufflenetv2,8,adam,250,225.43666666666664,39.43469869832572
imagenet,resnet50,128,adadelta,100,6824.416666666667,99.49691145647238
imagenet,resnet50,128,adadelta,125,5158.946666666667,122.72476041598846
imagenet,resnet50,128,adadelta,150,4243.256666666667,145.4588996130261
imagenet,resnet50,128,adadelta,175,3945.8033333333333,165.31462091704444
imagenet,resnet50,128,adadelta,200,3799.44,184.30843169998522
imagenet,resnet50,128,adadelta,225,3684.5533333333333,205.6183011675037
imagenet,resnet50,128,adadelta,250,3603.5966666666664,222.43902320007504
imagenet,resnet50,16,adadelta,100,7350.776666666668,96.53490485605427
imagenet,resnet50,16,adadelta,125,5627.166666666667,122.6479426086494
imagenet,resnet50,16,adadelta,150,5211.803333333333,141.76496934656632
imagenet,resnet50,16,adadelta,175,4936.723333333332,164.24435504212724
imagenet,resnet50,16,adadelta,200,4773.743333333333,185.3125614580572
imagenet,resnet50,16,adadelta,225,4643.88,208.2561358869245
imagenet,resnet50,16,adadelta,250,4610.753333333333,223.18526264634716
imagenet,resnet50,192,adadelta,100,6651.103333333333,100.08313022115176
imagenet,resnet50,192,adadelta,125,5046.68,121.51729460039122
imagenet,resnet50,192,adadelta,150,4163.813333333333,144.73972442946763
imagenet,resnet50,192,adadelta,175,3863.0066666666667,166.0951908933117
imagenet,resnet50,192,adadelta,200,3718.2099999999996,183.0067273877832
imagenet,resnet50,192,adadelta,225,3599.9833333333336,205.35601153653081
imagenet,resnet50,192,adadelta,250,3529.6066666666666,220.4896523965167
imagenet,resnet50,256,adadelta,100,6781.173333333332,98.38240555274153
imagenet,resnet50,256,adadelta,125,5064.97,121.9660191434676
imagenet,resnet50,256,adadelta,150,4148.66,144.59474877795884
imagenet,resnet50,256,adadelta,175,3852.1800000000003,166.37217540170334
imagenet,resnet50,256,adadelta,200,3700.973333333334,184.94427296655326
imagenet,resnet50,256,adadelta,225,3584.3033333333333,205.43829852803177
imagenet,resnet50,256,adadelta,250,3514.986666666666,220.25029530245453
imagenet,resnet50,32,adadelta,100,6934.2733333333335,96.8598663031075
imagenet,resnet50,32,adadelta,125,5254.05,121.94696397223707
